Date,Close,High,Low,Open,Volume,Code
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2024-01-12,3818.543701171875,3840.6221287398494,3758.356546252599,3784.3195573627654,6813450,TCS.NS
2024-01-15,3839.196044921875,3899.3831978368935,3820.7071181831857,3894.4659428585364,2801505,TCS.NS
2024-01-16,3797.3994140625,3834.475468935188,3791.744570783101,3834.475468935188,1432672,TCS.NS
2024-01-17,3820.31396484375,3845.244304378807,3749.456270155478,3755.799481275032,3458696,TCS.NS
2024-01-18,3838.015869140625,3844.1132171624845,3798.087663535616,3833.491898617771,2239110,TCS.NS
2024-01-19,3886.760009765625,3906.967356670561,3859.1597310662,3888.6821239011256,2941975,TCS.NS
2024-01-23,3803.170654296875,3877.7405988557225,3787.8919281537783,3844.3246424565054,2618854,TCS.NS
2024-01-24,3786.95556640625,3828.207982906329,3751.2723957956964,3824.610185566064,2657709,TCS.NS
2024-01-25,3755.9052734375,3805.8814463186973,3724.7562899172253,3785.082567741791,2205154,TCS.NS
2024-01-29,3746.738037109375,3765.4667986734576,3726.875788870657,3746.540940381875,1646747,TCS.NS
2024-01-30,3746.29443359375,3792.869905489426,3732.937821564557,3753.095834814792,1411621,TCS.NS
2024-01-31,3761.474365234375,3779.2667358961994,3742.2527425557164,3756.7921750947016,2459358,TCS.NS
2024-02-01,3799.12890625,3849.1544104149884,3750.729991441207,3765.4665203991385,2363107,TCS.NS
2024-02-02,3909.67822265625,3927.519687561109,3816.7243758065465,3819.7308829629783,2826510,TCS.NS
2024-02-05,3916.578369140625,3964.583093927072,3905.5383052249554,3926.1398466214637,1691523,TCS.NS
2024-02-06,4076.955322265625,4090.6567924878987,3933.0395879690145,3939.9396574215916,4474396,TCS.NS
2024-02-07,4025.1064453125,4095.6844003141055,4015.7913989590998,4093.712951745964,2124267,TCS.NS
2024-02-08,4075.082763671875,4098.6414772476965,4027.718664799646,4031.6122274995373,2345173,TCS.NS
2024-02-09,4074.688720703125,4125.009753561321,4041.469619356334,4077.4976499021727,2100596,TCS.NS
2024-02-12,4061.8740234375,4100.2185996879325,4046.939916317884,4071.0410662440036,1013716,TCS.NS
2024-02-13,4090.262939453125,4110.470287388729,4023.233687764292,4066.5564628139236,1257415,TCS.NS
2024-02-14,4041.568359375,4056.1568867097644,3991.6906127839625,4048.369760884982,1391283,TCS.NS
2024-02-15,4044.6240234375,4087.108354491598,4024.7122006284635,4069.069792846999,1091582,TCS.NS
2024-02-16,4069.364990234375,4088.7348556600905,4041.5678568000403,4054.5300336656587,1307556,TCS.NS
2024-02-19,4045.215087890625,4069.3653326321246,3997.1119357869316,4064.1902801875176,772291,TCS.NS
2024-02-20,3973.109375,4039.497999883946,3952.754265381802,4023.825080480352,1193648,TCS.NS
2024-02-21,3934.518310546875,4005.3426935715765,3923.77401257502,3955.7113817423547,1885939,TCS.NS
2024-02-22,4028.75390625,4036.491697656846,3914.3112180915064,3914.3112180915064,2982052,TCS.NS
2024-02-23,3994.253173828125,4071.040993644668,3988.6343532981086,4071.040993644668,2538072,TCS.NS
2024-02-26,3943.93212890625,3992.1832836729077,3925.893326678586,3978.383143926878,1379284,TCS.NS
2024-02-27,4045.806396484375,4065.1266874784596,3941.9111598512027,3941.9111598512027,2960475,TCS.NS
2024-02-28,4060.149169921875,4095.585668602527,4030.626535543962,4037.1324119808564,1939225,TCS.NS
2024-02-29,4036.639404296875,4079.0255463313783,4006.5254808366444,4040.483632544849,3772719,TCS.NS
2024-03-01,4035.900146484375,4080.8983618694256,4028.457880326228,4048.5667992561753,2043265,TCS.NS
2024-03-04,4022.44482421875,4059.1137175073945,4017.713299775463,4046.397971180433,1749271,TCS.NS
2024-03-05,3954.824462890625,4005.9834565385154,3923.182617377778,4004.0120079870694,2070859,TCS.NS
2024-03-06,4006.279296875,4013.869325808943,3901.940284076301,3937.0321652104426,1744204,TCS.NS
2024-03-07,4049.94677734375,4065.1268346348106,3980.0587831504495,4006.969103489453,2688905,TCS.NS
2024-03-11,4063.50048828125,4093.712840504903,4030.6264880386584,4030.6264880386584,2304068,TCS.NS
2024-03-12,4132.40234375,4169.564339210483,4062.2185870597186,4063.500317326669,4039801,TCS.NS
2024-03-13,4089.77001953125,4180.456652887932,4072.9140381560783,4144.970578965752,2837260,TCS.NS
